11	int
1	main
40	(
41	)
38	{
11	int
25	i
46	,
25	q
46	,
25	y
46	,
25	sum
47	;
11	int
25	a
31	=
26	9
47	;
25	q
31	=
25	a
30	/
26	3
47	;
25	y
31	=
25	q
29	*
26	2
47	;
6	if
40	(
25	a
34	>
26	6
41	)
38	{
25	y
31	=
25	y
27	+
26	8
47	;
39	}
15	else
38	{
25	y
31	=
25	y
28	-
26	2
47	;
39	}
8	while
40	(
25	a
37	==
26	3
41	)
38	{
25	a
31	=
25	a
28	-
26	2
47	;
4	for
40	(
25	i
31	=
26	0
47	;
25	i
33	<
25	x
47	;
25	i
55	++
41	)
38	{
25	sum
31	=
25	q
27	+
25	y
47	;
39	}
39	}
25	q
31	=
25	q
29	*
26	7
47	;
20	return
26	0
47	;
39	}
0	#
